SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521240,SAMBANDAM SP,X ,Q,115.00,117.00,110.00,117.00,117.00,115.90,27,1350,153568.00,
521242,KANDAGIRI SP,X ,Q,31.00,31.60,29.00,30.20,30.50,29.90,32,2536,76066.00,
521248,KITEX GARMEN,B ,Q,231.35,232.30,229.05,231.75,230.20,232.15,75,1516,350389.00,
522001,CRANEX LTD. ,X ,Q,20.75,20.75,19.05,19.05,19.05,19.85,7,750,14927.00,
522004,BATLIBOI LTD,XT,Q,24.80,25.35,24.80,25.15,25.15,24.20,20,1699,42647.00,
522005,AUSTIN ENGG.,XT,Q,76.00,76.65,76.00,76.65,76.65,73.00,7,1002,76790.00,
522014,UNITED DRILL,Z ,Q,255.00,255.00,231.50,253.00,253.00,243.50,18,255,59943.00,
522015,VCCL LTD    ,P ,Q,4.20,4.20,4.20,4.20,4.20,4.20,1,100,420.00,
522017,FLUIDOMAT   ,X ,Q,175.00,178.95,175.00,175.95,175.00,178.05,22,1360,241122.00,
522029,WINDSOR MACH,B ,Q,101.85,105.00,101.85,103.90,105.00,102.15,159,42213,4366507.00,
522034,SHANTHI GEAR,B ,Q,137.20,139.95,135.75,137.70,138.05,134.75,36,921,126650.00,
522064,HONDA SIEL  ,B ,Q,1390.00,1398.00,1370.20,1381.05,1381.05,1384.35,66,671,931985.00,
522073,HITECHGEAR  ,B ,Q,402.00,418.90,400.80,413.85,418.00,401.55,70,1539,630152.00,
522074,ELGI EQUIP  ,B ,Q,275.50,295.85,275.50,285.40,285.40,274.35,260,6328,1810878.00,
522101,KILBURN ENGG,X ,Q,74.20,76.35,74.20,75.35,76.35,76.60,38,5496,413331.00,
522105,BIRLA PRETEC,X ,Q,6.92,7.07,6.73,6.74,6.74,6.79,29,13941,94689.00,
522108,YUKEN INDIA ,X ,Q,3802.95,3867.30,3042.40,3216.85,3216.85,3802.95,2455,35562,115326302.00,
522113,TIMKEN (I)  ,B ,Q,710.05,726.00,710.05,721.45,725.00,721.35,58,637,458511.00,
522122,VOITH PAPER ,XT,Q,843.00,843.00,800.05,838.00,838.00,834.40,11,124,103204.00,
522134,ARTSON ENG  ,X ,Q,79.50,79.50,77.55,78.35,78.35,78.25,53,9182,720299.00,
522152,SOLITAIR MC ,X ,Q,70.05,73.00,70.05,73.00,73.00,74.55,6,361,26350.00,
522163,DIAMONPOWER ,B ,Q,6.85,7.51,6.81,7.21,7.21,7.16,148,106847,763881.00,
522165,INDSIL HYD  ,X ,Q,170.00,173.70,169.00,169.80,171.00,170.10,89,10346,1767148.00,
522183,ITL INDUSTRS,X ,Q,272.00,272.00,254.30,258.10,257.50,265.25,82,4431,1164959.00,
522195,FRONTIER SPR,X ,Q,170.00,173.80,163.25,168.55,168.00,163.25,84,9879,1674359.00,
522205,PRAJ IND.LTD,A ,Q,82.50,85.40,81.80,84.95,84.95,83.70,936,135993,11428373.00,
522207,RASANDIK ENG,XT,Q,220.00,229.50,220.00,229.00,229.00,218.90,24,1308,296150.00,
522209,YOGI SUNGWON,XT,Q,1.96,1.96,1.96,1.96,1.96,1.87,1,25,49.00,
522215,SWISS GLASS ,X ,Q,167.00,170.00,162.05,169.85,169.85,165.90,21,833,140579.00,
522217,GUJ APOIND  ,B ,Q,216.00,216.50,213.00,216.50,216.50,212.35,4,90,19380.00,
522229,TANEJA AERO.,X ,Q,50.30,51.90,49.00,50.70,50.70,51.15,93,20755,1037689.00,
522231,CONART ENG. ,X ,Q,41.50,41.50,41.50,41.50,41.50,40.20,1,100,4150.00,
522241,M.M.FORGINGS,B ,Q,1070.05,1077.00,1070.00,1076.05,1077.00,1073.60,16,109,117084.00,
522249,MAYUR UNIQ. ,B ,Q,479.80,492.40,479.80,489.45,485.05,482.70,124,1728,846157.00,
522251,CENLUB INDUS,X ,Q,51.40,53.90,51.40,52.85,53.90,47.30,3,3,158.00,
522257,RAJOO ENGIN.,XT,Q,49.00,49.80,48.70,49.45,49.45,49.00,200,57733,2854199.00,
522261,DOLPHIN OFF.,B ,Q,84.05,87.50,83.30,86.20,86.20,85.35,285,20725,1777108.00,
522263,JMC PROJECTS,B ,Q,570.00,605.00,569.75,600.75,605.00,564.15,521,6945,4132545.00,
522267,VEEJAY LAKSH,X ,Q,54.45,54.45,50.55,51.50,51.50,51.95,5,325,17312.00,
522275,GET&D       ,A ,Q,404.95,406.00,397.00,399.60,399.60,407.55,162,5571,2235669.00,
522281,RAM RAT.WIRE,X ,Q,170.30,174.95,170.00,171.50,171.00,170.30,36,2030,347301.00,
522285,JAY NECO IND,B ,Q,8.14,8.14,7.84,8.07,8.00,7.83,37,18220,146037.00,
522287,KALPA.POWER ,B ,Q,481.60,484.95,473.05,481.55,481.55,484.65,193,171800,82467245.00,
522292,CHANDNI TE  ,X ,Q,43.20,44.00,41.10,44.00,44.00,43.20,32,8385,355258.00,
522294,T & I GLOBAL,X ,Q,72.90,72.90,69.00,70.00,70.00,70.95,27,1770,124291.00,
522295,CONTROL PRNT,B ,Q,424.00,459.00,424.00,453.90,453.25,428.45,87,1298,572049.00,
522650,BEMCO HYDRAU,XT,Q,185.05,199.75,185.00,194.00,194.00,192.70,12,388,72852.00,
523007,ANSAL BUILD.,X ,Q,77.00,81.95,76.65,81.60,81.95,79.75,15,1037,84006.00,
523011,WEIZMANN LTD,B ,Q,41.65,41.65,41.65,41.65,41.65,39.70,1,200,8330.00,
523019,B.N.RATHI SE,X ,Q,41.70,41.70,40.05,41.30,41.05,40.55,27,29919,1222572.00,
523021,RISHITECH   ,X ,Q,65.95,66.00,65.95,66.00,66.00,64.55,6,763,50350.00,
523023,SINCLAIR HOT,X ,Q,402.00,405.50,400.05,403.15,405.50,406.20,40,1777,715896.00,
523025,SAFARI IND. ,X ,Q,554.20,554.20,533.00,535.10,535.10,554.20,104,18473,9915780.00,
523100,COSMO FERR. ,X ,Q,23.00,23.00,23.00,23.00,23.00,22.00,2,450,10350.00,
523116,SANCO TRANS ,X ,Q,242.00,252.60,242.00,245.00,245.00,240.60,12,700,173975.00,
523120,ADOR MULTI. ,XT,Q,39.60,39.60,39.25,39.25,39.25,39.60,9,1010,39862.00,
523127,EIH ASSO.HOT,B ,Q,498.00,520.00,487.20,495.40,491.75,479.80,55,685,342256.00,
523144,MEDI CAPS   ,X ,Q,23.50,23.50,21.85,22.20,21.85,23.50,57,10056,227662.00,
523160,MORGAN CRU  ,XT,Q,1374.60,1374.60,1340.00,1356.30,1350.00,1309.25,194,6692,9119450.00,
523204,ABAN OFFSHO ,A ,Q,159.80,164.50,159.45,162.95,162.95,162.10,2396,235840,38250440.00,
523207,KOKUYOCMLN  ,B ,Q,118.00,122.40,117.10,121.50,121.50,119.15,126,10120,1219546.00,
523229,BHARAT SEATS,X ,Q,199.90,199.90,186.00,195.95,195.90,198.50,395,22174,4320831.00,
523232,CONT.PETRO  ,XT,Q,41.00,41.00,38.55,38.55,38.55,39.90,3,300,12055.00,
523248,MACHINO PLAS,X ,Q,216.95,260.00,216.95,256.30,256.30,216.70,149,23977,6051967.00,
